srno,Data
0,"8.55am Good morning and welcome to our coverage of the second semi-final between Australia and South Africa, with the winners taking on Sri Lanka in Saturday's final. Team and toss news to follow any second ..."
1,"Bracken to Smith, 1 run uppish and loose pushed drive, in the air but into space, third man fields"
2,"Bracken to de Villiers, no run wide of off stump, plenty of swing, aided by a stiff breeze, and de Villiers leaves"
3,"Bracken to de Villiers, no run again that swung into the right-hander, de Villiers into line and drops into the leg side"
4,"Bracken to de Villiers, no run a similar line, de Villiers pushes the ball no more than five or six yards into the leg side"
5,"Bracken to de Villiers, no run outside off and wide enough to leave"
6,"Bracken to de Villiers, FOUR runs de Villiers pushes forward, a thick edge shoots along the ground to the right of solitary slip and the ball flies across the outfield"
7,"McGrath to Smith, 1 run Smith whips that from middle-and-leg into the on side, an easy run to the man in the deep"
8,"McGrath to de Villiers, 1 wide that started wide of off and swung significantly, an easy wide to call and Gilchrist had to scurry across to gather"
9,"McGrath to de Villiers, no run better line, and less swing, de Villiers leaves it alone"
10,"McGrath to de Villiers, no run massive shout as de Villiers took a half stride and misses. Aleem Dar shakes his head"
11,"McGrath to de Villiers, no run outside off and no alarms this time as the batsman leaves it"
12,"McGrath to de Villiers, no run McGrath finds the edge and it drops just short of Ponting at second slip"
13,"Bracken to Smith, no run Smith takes a stroll down the pitch before Bracken is even in his delivery stride, prods and misses"
14,"Bracken to Smith, no run this time Smith stays anchored to the crease and pushes into the covers"
15,"Bracken to Smith, OUT Smith again walks down the pitch to meet the ball, shapes to hit over the top and a sniff of swing takes the ball past the bat and into the off stump"
16,"Bracken to Kallis, no run Kallis spars and misses one outside off, much oohing and aahing among players, crowd and Cricinfo staff. 79mph for speed freaks."
17,"Bracken to Kallis, no run wider, and Kallis able to watch that pass"
18,"Bracken to Kallis, no run 82mph, and Kallis plays a slightly hurried defensive jab"
19,"McGrath to de Villiers, no run wide and left"
20,"McGrath to de Villiers, no run McGrath continues with his nagging line fractionally outside off - 79mph - and de Villiers not tempted to nibble ... yet"
